" label;;;;","Unnamed: 0","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
"",10,13,"1","2023-11-28T21:42:39.759313Z",12,13.396,"no German loanword","In 2007, Freie Universität Berlin was selected in the Excellence Initiative jointly sponsored by the German federal government and the governments of the federal states.","2023-11-28T21:46:54.718043Z"
"",11,14,"1","2023-11-28T21:50:50.256822Z",13,15.236,"no German loanword","It was one of nine universities in Germany to receive distinction in all three lines of funding, a step that has enabled the university to solidify and further expand its position as an “international network university.”","2023-11-28T21:50:50.256822Z"
"",12,15,"1","2023-11-28T21:50:59.932960Z",14,6.793,"no German loanword","In 2012 during the second funding round of the Excellence Initiative, it was selected again and became one of eleven universities of excellence in Germany.","2023-11-28T21:50:59.932960Z"
"",13,16,"1","2023-11-28T21:51:31.258420Z",15,30.373,"no German loanword","In 2018 the three major Berlin universities – Freie Universität Berlin, Humboldt-Universität zu Berlin, and Technische Universität Berlin – along with Charité – Universitätsmedizin Berlin formed the Berlin University Alliance to create an institutional framework for their collaboration.","2023-11-28T21:51:31.258420Z"
"",14,17,"1","2023-11-28T21:51:37.991410Z",16,5.715,"no German loanword","Since 2019 Freie Universität Berlin has been funded as part of the excellence consortium Berlin University Alliance within the Excellence Strategy competition of the German federal and state governments.
","2023-11-28T21:51:37.991410Z"
"",15,18,"1","2023-11-28T21:51:47.433888Z",17,7.932,"no German loanword","A delegation of the strategic partner university Beijing paid a visit to Freie Universität Berlin on April 5th, 2023, led by their new president Prof. GONG Qihuang, after a break of three years caused by the Covid-19 pandemic.","2023-11-28T21:51:47.433888Z"
"",16,19,"1","2023-11-28T21:51:53.381472Z",18,4.813,"no German loanword","After a visit of the Konfuzius Institute, President Prof. Günter M. Ziegler welcomed the delegation.","2023-11-28T21:51:53.381472Z"
"",17,20,"1","2023-11-28T21:52:27.030540Z",19,32.614,"no German loanword","After a presentation of the newest developments at Freie Universität Berlin, President Gong thanked the hosts with the words: We did not prepare a presentation, we simply wish to share with our friends at Freie Universität Berlin the words: We are very happy to finally travel and visit our partners again.","2023-11-28T21:52:27.030540Z"
"",18,21,"1","2023-11-28T21:52:31.517575Z",20,2.425,"no German loanword","We are back! '","2023-11-28T21:52:31.517575Z"
"",19,22,"1","2023-11-28T21:52:42.645414Z",21,10.217,"no German loanword","Te relationship between Freie Universität Berlin and Beijing University go back to the year 1981.","2023-11-28T21:52:42.645414Z"
"",20,23,"1","2023-11-28T21:53:34.226406Z",22,50.31,"no German loanword","On its thirty-year anniversary, the partnership was elevated to a strategic partnership.","2023-11-28T21:53:34.226406Z"
"",21,24,"1","2023-11-28T21:55:28.948275Z",23,113.063,"no German loanword","Despite the pandemic, cooperation agreements were signed over the last years in area studies and sinology; at the end of 2022, the first undergraduate studens were able to travel to Beijing for their sudy abroad period.
","2023-11-28T21:55:28.948275Z"
"",22,25,"1","2023-11-28T21:55:39.548709Z",24,9.585,"no German loanword","Recently, a delegation from the Indian Institute of Technology (IIT) Roorkee visited Freie Universität Berlin (FU Berlin), and met with President Günter M. Ziegler and other officials to discuss the connection between the two institutions.","2023-11-28T21:55:39.548709Z"
"",23,26,"1","2023-11-28T21:55:45.457034Z",25,4.921,"no German loanword","The delegation consisted of Director K.K. Pant, Dean of International Relations Prof. Vimal C. Srivastava, Prof. P. Arumuganm (Professor of Physics), Prof.","2023-11-28T21:55:45.457034Z"
"",24,27,"1","2023-11-28T21:57:05.411259Z",26,77.646,"no German loanword","Ankit Agarwal (Hydrology, Lead Project Investigation of the Indo-German Project) and the staff members Dr. Ravi Ranjan and Ravi Kumar.","2023-11-28T21:57:05.411259Z"
"",25,28,"1","2023-11-28T21:57:11.166996Z",27,4.393,"no German loanword","'Already several years ago relations between the IIT Roorkee and the Department of Physics of the FU Berlin had been established.","2023-11-28T21:57:11.166996Z"
"",26,29,"1","2023-11-28T21:57:22.878718Z",28,10.587,"no German loanword","The meeting was attended by the President of the Freie Universität Berlin Prof. Dr. Günter M. Ziegler, Prof. Dr. Holger Dau from the Department of Physics, Prof. Dr. Sutapa Chakrabit from the Department of Biology, Chemistry and Pharmacy and the Director of the Department of Internatioal Relations Dr. Herbert Grieshop as well as the Head of the Student Mobility Unit Ms Gesa Heym and the India Advisor at the Center for International Cooperation Mr. Bertram Welker.","2023-11-28T21:57:22.878718Z"
"",27,30,"1","2023-11-28T21:57:30.142613Z",29,5.891,"no German loanword","The IITR delegation informed those responsible at the FU Berlin about the 175th anniversary of the IIT Roorkee and its international relations.","2023-11-28T21:57:30.142613Z"
"",28,31,"1","2023-11-28T21:57:36.918278Z",30,5.811,"no German loanword","The visit offered the opportunity to reactivate the existing ties between the two universities and to discuss further collaboration formats.
","2023-11-28T21:57:36.918278Z"
"",29,32,"1","2023-11-28T21:57:42.058604Z",31,3.995,"no German loanword","On the occasion the of Europe Day on May 9, 2023, a panel discussion will take place from 1:00 p.m. to 5:00 p.m. under the title  Europe.","2023-11-28T21:57:42.058604Z"
"",32,33,"1","2023-11-28T21:59:05.479178Z",34,17.609,"no German loanword","- What Berlin\'s universities can do to make Europe fit for the future will take place at the European House at the Brandenburg Gate.","2023-11-28T21:59:05.479178Z"
"",33,34,"1","2023-11-28T21:59:13.112157Z",35,6.075,"no German loanword","The event is jointly organized by HU Berlin, Hertie School, TU Berlin and FU Berlin as well as the university alliances CIVICA, Circle U., ENHANCE and Una Europa.","2023-11-28T21:59:13.112157Z"
"",34,35,"1","2023-11-28T21:59:21.228551Z",36,6.4,"no German loanword","FU, Hertie School, HU and TU unite in their alliances 32 renowned universities, over 1.2 million students, around 250,000 researchers and employees and over 100 associated partners from science, business and society.","2023-11-28T21:59:21.228551Z"
"",35,36,"1","2023-11-28T21:59:30.611929Z",37,7.9,"no German loanword","'The subject of the event will be ecological and digital transformation: 'Ecological and digital transformation are important prerequisites for a more sustainable and climate-friendly society and economy.","2023-11-28T21:59:30.611929Z"
"",36,37,"1","2023-11-28T21:59:34.865655Z",38,2.925,"no German loanword","But this requires competent and well-trained experts in all areas.","2023-11-28T21:59:34.865655Z"
"",37,38,"1","2023-11-28T21:59:41.867930Z",39,5.508,"no German loanword","The lack of qualified professionals is one of the great challenges of our time, not only in Germany but throughout Europe.","2023-11-28T21:59:41.867930Z"
"",38,39,"1","2023-11-28T22:03:58.306616Z",40,7.826,"no German loanword","Universities, as places of research and teaching, are important actors in the transfer of competences and are faced with the task of continually redesigning their teaching to address challenges such as digitalization, sustainability, the Corona pandemic, internationalization and the shortage of skilled workers.","2023-11-28T22:03:58.306616Z"
"",39,40,"1","2023-11-28T22:04:10.908752Z",41,9.953,"no German loanword","'Universities develop in their alliances new forms of teaching and learning that are intended to make university teaching more participatory, sustainable, international and open.","2023-11-28T22:04:10.908752Z"
"",40,41,"1","2023-11-28T22:04:19.492014Z",42,7.485,"no German loanword","For example, certificates or microcredentials offer an opportunity to set individual skill focuses - also for people who are not enrolled at the universities.","2023-11-28T22:04:19.492014Z"
"",41,42,"1","2023-11-28T22:04:27.861832Z",43,7.284,"no German loanword","Inter- and transdisciplinary projects promote the exchange of skills not only between academic fields but also between higher education and practice.","2023-11-28T22:04:27.861832Z"
"",42,43,"1","2023-11-28T22:05:00.217651Z",44,30.857,"no German loanword","Participants not only benefit from a variety of offers at universities throughout Europe, but can also strengthen their intercultural skills and develop their own Europe-wide networks through flexible mobility experiences.
","2023-11-28T22:05:00.217651Z"
"",43,44,"1","2023-11-28T22:05:08.463317Z",45,7.024,"no German loanword","On April 3, 2023, the principal of the Mexican university, Professor Enrique L. Graue Wiechers, visited Freie Universität to celebrate the fifth anniversary of the UNAM-Germany office.","2023-11-28T22:05:08.463317Z"
"",44,45,"1","2023-11-28T22:05:14.246824Z",46,4.89,"no German loanword","The contract between the Universidad Nacional Autónoma de México and Freie Universität was extended for another five years.","2023-11-28T22:05:14.246824Z"
"",45,46,"1","2023-11-28T22:05:22.660307Z",47,6.976,"no German loanword","After the signing of the contract, guests were invited to a Mexican buffet and music in the foyer of the Henry Ford Building.","2023-11-28T22:05:22.660307Z"
"",46,47,"1","2023-11-28T22:07:45.523993Z",48,141.626,"no German loanword","Among the guests were also representatives of other German universities and research institutions as well as alumni of Freie Universität who had visited UNAM in the framework of an Erasmus+-funded teaching mobility.","2023-11-28T22:07:45.523993Z"
"",47,48,"1","2023-11-28T22:08:17.737603Z",49,29.098,"no German loanword","'UNAM\'s office at the International House of Freie Universität has existed since 2018, although formal ties reach back to 1988, when the first cooperation agreement was signed.","2023-11-28T22:08:17.737603Z"
"",48,49,"1","2023-11-28T22:08:23.682656Z",50,4.438,"no German loanword","The cooperation takes various forms: In addition to exchange programs, there are scientific collaborations, including with the Botanical Garden.","2023-11-28T22:08:23.682656Z"
"",49,50,"1","2023-11-28T22:08:35.556739Z",51,10.834,"no German loanword","Furthermore, there is close cooperation between the Latin American Institute of Freie Universität and UNAM within the framework of the DFG-funded International Research Training Group Temporalities of Future.","2023-11-28T22:08:35.556739Z"
"",50,51,"1","2023-11-28T22:08:43.220813Z",52,6.499,"no German loanword","The goal of the liaison office in the coming years is in particular to intensify the exchange of researchers and students.
","2023-11-28T22:08:43.220813Z"
"",51,52,"1","2023-11-28T22:09:32.649107Z",53,48.419,"no German loanword","On 27.04.23 an informational event of the direct exchange program for all outgoings of the academic year 2023/24 took place in the Henry-Ford-Bau of Freie Universität Berlin.","2023-11-28T22:09:32.649107Z"
"",52,53,"1","2023-11-28T22:09:38.508503Z",54,4.108,"no German loanword","A total of 280 outgoings will go to our partner universities in this academic year, including our partner universities in the United Kingdom.","2023-11-28T22:09:38.508503Z"
"",53,54,"1","2023-11-28T22:09:52.140897Z",55,12.786,"no German loanword","'In the early evening, the future outgoings and staff members of the direct exchange program met with the Head of Unit IV C for Student Mobility, Ms. Heym, and the coordinator of the direct exchange, Ms. Simon, as well as many other experts for the different regions, and then split up into the seminar rooms according to region.","2023-11-28T22:09:52.140897Z"
"",54,55,"1","2023-11-28T22:10:34.266645Z",56,40.588,"no German loanword","For each region, there was then a presentation on the process of the direct exchange with important information on, for example, entry and the security situation in the destination countries.","2023-11-28T22:10:34.266645Z"
"",55,56,"1","2023-11-28T22:10:41.582071Z",57,5.472,"no German loanword","Afterwards, there was time for questions and reports on the experiences of many former outgoings who were also present.","2023-11-28T22:10:41.582071Z"
"",56,57,"1","2023-11-28T22:10:45.687152Z",58,3.241,"no German loanword","'At a joint reception, all participants came together for exchange, networking and dialogue.","2023-11-28T22:10:45.687152Z"
"",57,58,"1","2023-11-28T22:10:54.659255Z",59,7.398,"","There was a table for each target country, which gave the future outgoings the opportunity to get to know each other better and to network with the incoming students of the universities who are currently here for an exchange.","2023-11-28T22:10:54.659255Z"
"",58,59,"1","2023-11-28T22:10:58.593315Z",60,2.947,"no German loanword","We are very happy about the shared evening and the informative exchange!","2023-11-28T22:10:58.593315Z"
"",59,60,"1","2023-11-28T22:11:04.134646Z",61,4.154,"no German loanword","'To all the outgoings of the academic year 2023/24, we wish you every success in your endeavors!
","2023-11-28T22:11:04.134646Z"
"",60,61,"1","2023-11-28T22:11:10.943805Z",62,5.932,"no German loanword","Liaison offices in São Paulo, Cairo, New Delhi and more help with forming research collaborations and informing prospective students and researchers about opportunities at Freie Universität.","2023-11-28T22:11:10.943805Z"
"",61,62,"1","2023-11-28T22:11:34.052989Z",63,21.469,"no German loanword","The Institutes of Eastern European Studies, North American Studies and Latin American Studies work interdisciplinarily and across country borders.","2023-11-28T22:11:34.052989Z"
"",62,63,"1","2023-11-28T22:11:39.654206Z",64,4.587,"no German loanword","'Since 2012, the university supports academics in exile - so far more than 50 people from more than 14 countries.","2023-11-28T22:11:39.654206Z"
"",63,64,"1","2023-11-28T22:11:59.672359Z",65,9.722,"no German loanword","Since 2015, the Welcome@FUBerlin program prepares around 100 students who are refugees to take up a degree course in Germany every year.","2023-11-28T22:11:59.672359Z"
"",64,65,"1","2023-11-28T22:12:06.229889Z",66,4.891,"no German loanword","'Around 13 per cent of undergraduates and almost a third of graduate students came from abroad in the last winter semester.","2023-11-28T22:12:06.229889Z"
"",65,66,"1","2023-11-28T22:12:14.823734Z",67,7.757,"no German loanword","For researchers from abroad, Freie Universität Berlin is one of the most popular host universities in Germany: Since 2014, the university leads the ranking of the Alexander von Humboldt Foundation.","2023-11-28T22:12:14.823734Z"
"",66,67,"1","2023-11-28T22:12:17.385413Z",68,1.771,"no German loanword","A reason to celebrate!
","2023-11-28T22:12:17.385413Z"
"",67,68,"1","2023-11-28T22:12:30.366705Z",69,12.191,"no German loanword","The Department of International Affairs coordinates the development and expansion of international relations at Freie Universität Berlin and is the central point of contact both for students and researchers planning a stay abroad and for those who would like to come to Freie Universität from abroad to study or conduct research.","2023-11-28T22:12:30.366705Z"
"",68,69,"1","2023-11-28T22:12:42.379943Z",70,8.38,"no German loanword","The Center for International Cooperation (CIC), as Unit IV A in the International Affairs Department, is the center for strategic internationalization at Freie Universität Berlin.","2023-11-28T22:12:42.379943Z"
"",69,70,"1","2023-11-28T22:12:55.578263Z",71,12.279,"no German loanword","It acts as the central office for the university\'s liaison offices abroad, provides steering support for the university\'s strategic partnerships, conducts funding calls, and implements the internationalization strategy in cooperation with other university stakeholders.","2023-11-28T22:12:55.578263Z"
"",70,72,"1","2023-11-28T22:14:24.959284Z",72,43.414,"no German loanword","For a project in the field of international collaboration in online teaching (Collaborative Online International Learning), which we are implementing together with other Berlin universities funded by the Quality and Innovation Offensive of Berlin Universities (QIO), we are looking for an officer* to coordinate the project within the FU.Responsibilities:You will take on the following areas of responsibility:- Operational management and implementation of the project Collaborative Online International Learning at Freie Universität.- Representation of Freie Universität within the collaborative consortium led by HWR Berlin- Coordination and implementation of FU-specific COILs in coordination with departments and faculties- Mapping of existing comparable projects and initiatives in digital international teaching at the FU and creation of a guideline for their planning and implementation- Identification of suitable partner universities worldwide and match-making within the FU- Project monitoring, reporting, public relations and evaluation as well as financial management of the project- Support for the overall coordination in the areas of standardization of formats, quality assurance / evaluation, formal issues (enrollment, credit transfer, examination acceptance, teaching load)- Organization of accompanying measures such as intercultural training and training courses for teachersRequirements for employment:- Completed university studies (FH/Bachelor) in administrative management (public management) or comparable knowledge.(Professional) experience:-","2023-11-28T22:14:24.959284Z"
"",71,71,"1","2023-11-28T22:13:31.280664Z",73,8.813,"no German loanword","At least three years of work experience in the field of internationalization at a higher education institution / in the science sector.","2023-11-28T22:13:31.280664Z"
"",72,73,"1","2023-11-28T22:14:55.831266Z",74,29.341,"no German loanword","Desirable:- relevant experience in project management in scientific institutions- several years of experience in independent cooperation with international partner institutions- excellent knowledge of the German and English language, both written and spoken- good knowledge of the German as well as international higher education systems and international political developmentswith influence on the science system, also through own substantial international experience- experience in the responsible implementation of internationalization projects, ideally in digital international teaching collaboration- Knowledge in the management of funds- High affinity for technology and knowledge of online tools relevant to teaching- Independent working style and strong communication skills- Sense of responsibility, service orientation and ability to work in a teamYou can find the complete job advertisement here.
","2023-11-28T22:14:55.831266Z"
"",73,74,"1","2023-11-28T22:15:01.787543Z",75,4.753,"no German loanword","The Newsletter published by the Division for International Affairs provides regular updates about internal and external funding opportunities, events and important developments in international cooperation.
","2023-11-28T22:15:01.787543Z"
"",74,75,"1","2023-11-28T22:15:07.973425Z",76,5.214,"no German loanword","The Berlin Centre for Higher Education is hosting an online event in the field of international collaboration in online teaching (Collaborative Online International Learning) on June 19, 2023 starting at 12:30 pm.","2023-11-28T22:15:07.973425Z"
"",75,76,"1","2023-11-28T22:15:16.561397Z",77,7.651,"no German loanword","In a 90-minute online course, participants will learn what is behind the COIL approach and how you can digitize and internationalize your teaching in a low-threshold and flexible way.","2023-11-28T22:15:16.561397Z"
"",76,77,"1","2023-11-28T22:15:23.507238Z",78,5.945,"no German loanword","Courses in the COIL format allow students to experience and learn about concrete intercultural communication and collaborative work involving digital tools.","2023-11-28T22:15:23.507238Z"
"",77,78,"1","2023-11-28T22:15:29.277285Z",79,4.044,"no German loanword","After the course, you will have a better understanding of COIL projects and know about their added value for you and your students.","2023-11-28T22:15:29.277285Z"
"",78,79,"1","2023-11-28T22:15:33.718723Z",80,3.479,"no German loanword","In addition, you will be informed about in-depth COIL training opportunities and resources.","2023-11-28T22:15:33.718723Z"
"",79,80,"1","2023-11-28T22:15:59.659130Z",81,24.575,"no German loanword","This event is offered as part of the BeCOIL project and is open to teachers from all Berlin universities.","2023-11-28T22:15:59.659130Z"
"",80,81,"1","2023-11-28T22:16:28.642911Z",82,28.031,"no German loanword","Detailed information about the contents of the event and registration can be found here and under important dates.
","2023-11-28T22:16:28.642911Z"
"",81,82,"1","2023-11-28T22:16:38.654850Z",83,8.521,"no German loanword","Welcome Day for International Doctoral CandidatesMay 25th, 2023, 9:00 am - 2:30 pmHolzlaube room 2.2058 (Fabeckstraße 23/25)followed by a campus tour on May 26th, 2023 'During the event, the Dahlem Research School will explain the German university system and present its own offers for doctoral candidates.","2023-11-28T22:16:38.654850Z"
"",82,83,"1","2023-11-28T22:16:47.348106Z",84,7.741,"no German loanword","Doctoral degree offices from different departments will give an overview of the administrative process of doing a PhD/doctorate at FUB, the Personnel Division and the Welcome Service will give some guidance on working and researching in Germany, and the International Affairs Division will provide information on Erasmus+ and PROMOS stays abroad.","2023-11-28T22:16:47.348106Z"
"",83,84,"1","2023-11-28T22:16:55.816902Z",85,7.009,"no German loanword","You can also take part in a campus tour on May 26th and last but not least meet other international doctoral candidates.
","2023-11-28T22:16:55.816902Z"
"",84,85,"1","2023-11-28T22:17:01.478767Z",86,4.425,"no German loanword","A Long and Moving History Efforts to establish higher education in Linz date back to the 16th century.","2023-11-28T22:17:01.478767Z"
"",85,86,"1","2023-11-28T22:17:04.625480Z",87,2.398,"no German loanword","Following an agricultural and a Latin school, the k.k.","2023-11-28T22:17:04.625480Z"
"",86,87,"1","2023-11-28T22:17:54.266028Z",88,36.391,"no German loanword","Lyceum was established but closed in 1849.Beginning in the middle of the 19th century, Linz envisioned several proposals time and again to establish a university offering studies in law, medicine, engineering, or a medical university.","2023-11-28T22:17:54.266028Z"
"",87,88,"1","2023-11-28T22:18:18.480179Z",89,22.67,"German loanword","During the National Socialist period, extensive plans were devised to construct a technical university in what was then referred to as the Führers Capital.","2023-11-28T22:18:18.480179Z"
"",88,89,"1","2023-11-28T22:18:33.129092Z",90,4.933,"no German loanword","The result, however, was only a provisional educational institution opened at the Wilhering Abbey, seven kilometers from Linz.","2023-11-28T22:18:33.129092Z"
"",89,90,"1","2023-11-28T22:18:38.361711Z",91,4.377,"no German loanword","Beginning in 1949, there were several unsuccessful attempts made to offer an engineering degree in Linz as part of studies at an engineering college.","2023-11-28T22:18:38.361711Z"
"",90,91,"1","2023-11-28T22:18:44.644678Z",92,5.279,"no German loanword","In the fall of 1954 gradual attempts began to propose and create a new kind of university focusing on social sciences, economics and business.","2023-11-28T22:18:44.644678Z"
"",91,92,"1","2023-11-28T22:18:56.906508Z",93,11.337,"no German loanword","To this end, a separate board of trustees was founded in March 1959 and the Linz University Fund was established three years later.","2023-11-28T22:18:56.906508Z"
"",92,93,"1","2023-11-28T22:19:19.639880Z",94,16.749,"no German loanword","The Linzer Hochschule was legally established in 1962 and the Linz University Fund continues to make considerable contributions to the expansion and operation of the university today.","2023-11-28T22:19:19.639880Z"
"",93,94,"1","2023-11-28T22:19:24.950807Z",95,4.41,"no German loanword","On October 8, 1966, an official ceremony to celebrate the opening of the University of Social and Economic Sciences took place in the main square of Linz.","2023-11-28T22:19:24.950807Z"
"",94,95,"1","2023-11-28T22:19:36.059534Z",96,10.297,"no German loanword","Thousands gathered to watch Heinrich Gleißner, President of the University Funds, and Mayor Edmund Aigner ceremonially hand the key over to the universitys first Rector, Ludwig Fröhler.","2023-11-28T22:19:36.059534Z"
"",95,96,"1","2023-11-28T22:19:43.112138Z",97,6.192,"no German loanword","Afterwards, Lecture Hall 1 was officially opened by Austrian President Franz Jonas., Two days later, the Faculty of Social Sciences, Economics and Law welcomed students to classes at the university.","2023-11-28T22:19:43.112138Z"
"",96,97,"1","2023-11-28T22:19:49.676948Z",98,5.235,"no German loanword","In the fall of 1968, the Faculty of Engineering and Natural Sciences (TNF) was constituted and students began taking classes at the beginning of the 1969/1970 Winter Semester.","2023-11-28T22:19:49.676948Z"
"",97,98,"1","2023-11-28T22:19:52.709270Z",99,1.98,"no German loanword","The TN Faculty in Linz was the first to offer a degree program in Computer Sciences.","2023-11-28T22:19:52.709270Z"
"",98,99,"1","2023-11-28T22:19:57.457487Z",100,3.912,"no German loanword","The Austrian Student Union began its activities on campus, representing students in university matters.","2023-11-28T22:19:57.457487Z"
"",99,100,"1","2023-11-28T22:20:03.558506Z",101,5.107,"no German loanword","Enacted in October 1975, the University Organization Act gave the Linz University the Faculty of Law and the university was re-named: Johannes Kepler University.","2023-11-28T22:20:03.558506Z"
"",100,101,"1","2023-11-28T22:20:10.416424Z",102,6.044,"no German loanword","Reforms were introduced in the area of administration and co-determination by assistant professors, students and administrative staff at all university levels.","2023-11-28T22:20:10.416424Z"
"",101,102,"1","2023-11-28T22:20:15.404477Z",103,4.085,"no German loanword","The landmark TN Tower opened its doors in 1977 and became fully operational by November 1978.","2023-11-28T22:20:15.404477Z"
"",102,103,"1","2023-11-28T22:20:26.253552Z",104,9.745,"no German loanword","The university continued to grow and welcomed the main campus library building (1984), the Laboratory Building for Microelectronics (1985), and the Management Center (1991).Student enrollment grew steadily and surpassed the 10,000 mark at the beginning of the 1984/1985 Winter Semester.","2023-11-28T22:20:26.253552Z"
"",103,104,"1","2023-11-28T22:20:30.629031Z",105,3.429,"no German loanword","The Research Institute for Symbolic Computing (RISC) was founded in 1987.","2023-11-28T22:20:30.629031Z"
"",104,105,"1","2023-11-28T22:21:00.383775Z",106,28.707,"no German loanword","Two years later, the institute moved into the renovated Schloss Hagenberg (district of Freistadt) in Upper Austrias Mühlviertel region.","2023-11-28T22:21:00.383775Z"
"",105,106,"1","2023-11-28T22:21:07.152595Z",107,5.804,"no German loanword","Subsequently, other institutes, a university of applied sciences and companies followed RISC to the area, forming todays Softwarepark Hagenberg.","2023-11-28T22:21:07.152595Z"
"",106,107,"1","2023-11-28T22:21:11.480225Z",108,3.325,"no German loanword","The Johannes Kepler University was the first university in the world to offer an academic degree program in Mechatronics.,  ","2023-11-28T22:21:11.480225Z"
"",107,108,"1","2023-11-28T22:21:19.773480Z",109,7.398,"no German loanword","At the beginning of the 90s, the JKU actively pursued international partnerships and a Vice-Rector for International Affairs was appointed in 1996.","2023-11-28T22:21:19.773480Z"
"",108,109,"1","2023-11-28T22:21:26.746346Z",110,6.081,"no German loanword","As early as 1991, the Austrian Federal Ministry of Science founded the Distance Learning Center at the JKU, enabling educational opportunities at the Fernuniversität Hagen for those interested.","2023-11-28T22:21:26.746346Z"
"",109,110,"1","2023-11-29T09:53:29.689668Z",111,8.321,"no German loanword","The Linz Center for Supercomputing (LIZENS) opened in 1992.","2023-11-29T09:53:32.876063Z"
"",110,111,"1","2023-11-29T09:53:45.168531Z",112,10.036,"no German loanword","During the same year, an Austrian Center for University Semiconductor Research was on the campus.","2023-11-29T09:53:45.168531Z"
"",111,112,"1","2023-11-29T09:54:18.513235Z",113,30.105,"no German loanword","The JKU was the first university in Austria to enact the 1993 Universities Organization Act during the 1996/1997 Winter Semester, thus strengthening the university\s autonomy.","2023-11-29T09:54:18.513235Z"
"",112,113,"1","2023-11-29T09:55:02.701804Z",114,41.741,"no German loanword","Existing partnerships were intensified: external funding was used to create the special research area Numerical and Symbolic Scientific Computing, several K-Plus centers, the Johann Radon Institute of Applied Mathematics, and additional Christian Doppler laboratories.","2023-11-29T09:55:02.701804Z"
"",113,114,"1","2023-11-29T09:57:42.602425Z",115,156.475,"no German loanword","The JKU forged ahead with new structural measures: In 1997, the Bank Building opened its doors and in 2003, Hochschulfond building.","2023-11-29T09:57:42.602425Z"
"",114,115,"1","2023-11-29T09:58:38.411757Z",116,52.902,"no German loanword","After far-reaching reforms in university law, the curricula was revised and enacted between 2000 and 2003.","2023-11-29T09:58:38.411757Z"
"",115,116,"1","2023-11-29T09:58:51.341565Z",117,11.061,"no German loanword","At the same time, the university revised its faculty strategies and universitys overall strategy for research, teaching and continual education.","2023-11-29T09:58:51.341565Z"
"",116,117,"1","2023-11-29T09:59:09.570835Z",118,15.488,"no German loanword","The university anticipated the 2002 Universities Act 2002 and defined future areas of excellence by establishing its own development priorities.","2023-11-29T09:59:09.570835Z"
"",117,118,"1","2023-11-29T09:59:22.070240Z",119,8.926,"no German loanword",", The JKU is at the forefront of administrative innovation: The KeplerCard, the first student ID card featuring an integrated chip, was introduced during Winter Semester 1998/1999.","2023-11-29T09:59:22.070240Z"
"",118,119,"1","2023-11-29T09:59:52.806876Z",120,28.171,"no German loanword","In the fall of 2003, the Kepler University introduced Austrias first wireless campus, followed by a Europe-wide multi-media degree program in law in 2002/2003, The JKU forged a new path by implementing social policies designed to support the advancement of women and offer gender studies as well as better integrate and support disabled individuals.","2023-11-29T09:59:52.806876Z"
"",119,120,"1","2023-11-29T10:00:25.371618Z",121,28.196,"no German loanword","During the 2000/2001 academic year, the inter-disciplinary institute for Women\s Affairs and Gender Studies and the Office for the Advancement of Women opened its doors, followed by the institute for Integrated Studies.","2023-11-29T10:00:25.371618Z"
"",120,121,"1","2023-11-29T10:05:50.458162Z",122,15.525,"no German loanword","The alumni association FORUM Studium & Beruf was created toward the end of 1999, and two years later the association was re-named the Kepler Society.","2023-11-29T10:05:50.458162Z"
"",121,122,"1","2023-11-29T10:05:57.742292Z",123,5.057,"no German loanword","The Career Center opened on the campus in the fall of 2004.","2023-11-29T10:05:57.742292Z"
