,text, label;;;;
22,"Recently, a delegation from the Indian Institute of Technology (IIT) Roorkee visited Freie Universität Berlin (FU Berlin), and met with President Günter M. Ziegler and other officials to discuss the connection between the two institutions.",
23,"The delegation consisted of Director K.K. Pant, Dean of International Relations Prof. Vimal C. Srivastava, Prof. P. Arumuganm (Professor of Physics), Prof.",
24,"Ankit Agarwal (Hydrology, Lead Project Investigation of the Indo-German Project) and the staff members Dr. Ravi Ranjan and Ravi Kumar.",
25,'Already several years ago relations between the IIT Roorkee and the Department of Physics of the FU Berlin had been established.,
26,"The meeting was attended by the President of the Freie Universität Berlin Prof. Dr. Günter M. Ziegler, Prof. Dr. Holger Dau from the Department of Physics, Prof. Dr. Sutapa Chakrabit from the Department of Biology, Chemistry and Pharmacy and the Director of the Department of Internatioal Relations Dr. Herbert Grieshop as well as the Head of the Student Mobility Unit Ms Gesa Heym and the India Advisor at the Center for International Cooperation Mr. Bertram Welker.",
27,The IITR delegation informed those responsible at the FU Berlin about the 175th anniversary of the IIT Roorkee and its international relations.,
28,"The visit offered the opportunity to reactivate the existing ties between the two universities and to discuss further collaboration formats.
",
29,"On the occasion the of Europe Day on May 9, 2023, a panel discussion will take place from 1:00 p.m. to 5:00 p.m. under the title  Europe.",
30,Skill.,
31,Berlin.,
32,- What Berlin\'s universities can do to make Europe fit for the future will take place at the European House at the Brandenburg Gate.,
33,"The event is jointly organized by HU Berlin, Hertie School, TU Berlin and FU Berlin as well as the university alliances CIVICA, Circle U., ENHANCE and Una Europa.",
34,"FU, Hertie School, HU and TU unite in their alliances 32 renowned universities, over 1.2 million students, around 250,000 researchers and employees and over 100 associated partners from science, business and society.",
35,'The subject of the event will be ecological and digital transformation: 'Ecological and digital transformation are important prerequisites for a more sustainable and climate-friendly society and economy.,
36,But this requires competent and well-trained experts in all areas.,
37,"The lack of qualified professionals is one of the great challenges of our time, not only in Germany but throughout Europe.",
38,"Universities, as places of research and teaching, are important actors in the transfer of competences and are faced with the task of continually redesigning their teaching to address challenges such as digitalization, sustainability, the Corona pandemic, internationalization and the shortage of skilled workers.",
39,"'Universities develop in their alliances new forms of teaching and learning that are intended to make university teaching more participatory, sustainable, international and open.",
40,"For example, certificates or microcredentials offer an opportunity to set individual skill focuses - also for people who are not enrolled at the universities.",
41,Inter- and transdisciplinary projects promote the exchange of skills not only between academic fields but also between higher education and practice.,
42,"Participants not only benefit from a variety of offers at universities throughout Europe, but can also strengthen their intercultural skills and develop their own Europe-wide networks through flexible mobility experiences.
",
43,"On April 3, 2023, the principal of the Mexican university, Professor Enrique L. Graue Wiechers, visited Freie Universität to celebrate the fifth anniversary of the UNAM-Germany office.",
44,The contract between the Universidad Nacional Autónoma de México and Freie Universität was extended for another five years.,
45,"After the signing of the contract, guests were invited to a Mexican buffet and music in the foyer of the Henry Ford Building.",
46,Among the guests were also representatives of other German universities and research institutions as well as alumni of Freie Universität who had visited UNAM in the framework of an Erasmus+-funded teaching mobility.,
47,"'UNAM\'s office at the International House of Freie Universität has existed since 2018, although formal ties reach back to 1988, when the first cooperation agreement was signed.",
48,"The cooperation takes various forms: In addition to exchange programs, there are scientific collaborations, including with the Botanical Garden.",
49,"Furthermore, there is close cooperation between the Latin American Institute of Freie Universität and UNAM within the framework of the DFG-funded International Research Training Group Temporalities of Future.",
50,"The goal of the liaison office in the coming years is in particular to intensify the exchange of researchers and students.
",
51,On 27.04.23 an informational event of the direct exchange program for all outgoings of the academic year 2023/24 took place in the Henry-Ford-Bau of Freie Universität Berlin.,
52,"A total of 280 outgoings will go to our partner universities in this academic year, including our partner universities in the United Kingdom.",
53,"'In the early evening, the future outgoings and staff members of the direct exchange program met with the Head of Unit IV C for Student Mobility, Ms. Heym, and the coordinator of the direct exchange, Ms. Simon, as well as many other experts for the different regions, and then split up into the seminar rooms according to region.",
54,"For each region, there was then a presentation on the process of the direct exchange with important information on, for example, entry and the security situation in the destination countries.",
55,"Afterwards, there was time for questions and reports on the experiences of many former outgoings who were also present.",
56,"'At a joint reception, all participants came together for exchange, networking and dialogue.",
57,"There was a table for each target country, which gave the future outgoings the opportunity to get to know each other better and to network with the incoming students of the universities who are currently here for an exchange.",
58,We are very happy about the shared evening and the informative exchange!,
59,"'To all the outgoings of the academic year 2023/24, we wish you every success in your endeavors!
",
60,"Liaison offices in São Paulo, Cairo, New Delhi and more help with forming research collaborations and informing prospective students and researchers about opportunities at Freie Universität.",
61,"The Institutes of Eastern European Studies, North American Studies and Latin American Studies work interdisciplinarily and across country borders.",
62,"'Since 2012, the university supports academics in exile - so far more than 50 people from more than 14 countries.",
63,"Since 2015, the Welcome@FUBerlin program prepares around 100 students who are refugees to take up a degree course in Germany every year.",
64,'Around 13 per cent of undergraduates and almost a third of graduate students came from abroad in the last winter semester.,
65,"For researchers from abroad, Freie Universität Berlin is one of the most popular host universities in Germany: Since 2014, the university leads the ranking of the Alexander von Humboldt Foundation.",
66,"A reason to celebrate!
",
67,The Department of International Affairs coordinates the development and expansion of international relations at Freie Universität Berlin and is the central point of contact both for students and researchers planning a stay abroad and for those who would like to come to Freie Universität from abroad to study or conduct research.,
68,"The Center for International Cooperation (CIC), as Unit IV A in the International Affairs Department, is the center for strategic internationalization at Freie Universität Berlin.",
69,"It acts as the central office for the university\'s liaison offices abroad, provides steering support for the university\'s strategic partnerships, conducts funding calls, and implements the internationalization strategy in cooperation with other university stakeholders.",
70,"For a project in the field of international collaboration in online teaching (Collaborative Online International Learning), which we are implementing together with other Berlin universities funded by the Quality and Innovation Offensive of Berlin Universities (QIO), we are looking for an officer* to coordinate the project within the FU.Responsibilities:You will take on the following areas of responsibility:- Operational management and implementation of the project Collaborative Online International Learning at Freie Universität.- Representation of Freie Universität within the collaborative consortium led by HWR Berlin- Coordination and implementation of FU-specific COILs in coordination with departments and faculties- Mapping of existing comparable projects and initiatives in digital international teaching at the FU and creation of a guideline for their planning and implementation- Identification of suitable partner universities worldwide and match-making within the FU- Project monitoring, reporting, public relations and evaluation as well as financial management of the project- Support for the overall coordination in the areas of standardization of formats, quality assurance / evaluation, formal issues (enrollment, credit transfer, examination acceptance, teaching load)- Organization of accompanying measures such as intercultural training and training courses for teachersRequirements for employment:- Completed university studies (FH/Bachelor) in administrative management (public management) or comparable knowledge.(Professional) experience:-",
71,At least three years of work experience in the field of internationalization at a higher education institution / in the science sector.,
72,"Desirable:- relevant experience in project management in scientific institutions- several years of experience in independent cooperation with international partner institutions- excellent knowledge of the German and English language, both written and spoken- good knowledge of the German as well as international higher education systems and international political developmentswith influence on the science system, also through own substantial international experience- experience in the responsible implementation of internationalization projects, ideally in digital international teaching collaboration- Knowledge in the management of funds- High affinity for technology and knowledge of online tools relevant to teaching- Independent working style and strong communication skills- Sense of responsibility, service orientation and ability to work in a teamYou can find the complete job advertisement here.
",
73,"The Newsletter published by the Division for International Affairs provides regular updates about internal and external funding opportunities, events and important developments in international cooperation.
",
74,"The Berlin Centre for Higher Education is hosting an online event in the field of international collaboration in online teaching (Collaborative Online International Learning) on June 19, 2023 starting at 12:30 pm.",
75,"In a 90-minute online course, participants will learn what is behind the COIL approach and how you can digitize and internationalize your teaching in a low-threshold and flexible way.",
76,Courses in the COIL format allow students to experience and learn about concrete intercultural communication and collaborative work involving digital tools.,
77,"After the course, you will have a better understanding of COIL projects and know about their added value for you and your students.",
78,"In addition, you will be informed about in-depth COIL training opportunities and resources.",
79,This event is offered as part of the BeCOIL project and is open to teachers from all Berlin universities.,
80,"Detailed information about the contents of the event and registration can be found here and under important dates.
",
81,"Welcome Day for International Doctoral CandidatesMay 25th, 2023, 9:00 am - 2:30 pmHolzlaube room 2.2058 (Fabeckstraße 23/25)followed by a campus tour on May 26th, 2023 'During the event, the Dahlem Research School will explain the German university system and present its own offers for doctoral candidates.",
82,"Doctoral degree offices from different departments will give an overview of the administrative process of doing a PhD/doctorate at FUB, the Personnel Division and the Welcome Service will give some guidance on working and researching in Germany, and the International Affairs Division will provide information on Erasmus+ and PROMOS stays abroad.",
83,"You can also take part in a campus tour on May 26th and last but not least meet other international doctoral candidates.
",
84,A Long and Moving History Efforts to establish higher education in Linz date back to the 16th century.,
85,"Following an agricultural and a Latin school, the k.k.",
86,"Lyceum was established but closed in 1849.Beginning in the middle of the 19th century, Linz envisioned several proposals time and again to establish a university offering studies in law, medicine, engineering, or a medical university.",
87,"During the National Socialist period, extensive plans were devised to construct a technical university in what was then referred to as the Führers Capital.",
88,"The result, however, was only a provisional educational institution opened at the Wilhering Abbey, seven kilometers from Linz.",
89,"Beginning in 1949, there were several unsuccessful attempts made to offer an engineering degree in Linz as part of studies at an engineering college.",
90,"In the fall of 1954 gradual attempts began to propose and create a new kind of university focusing on social sciences, economics and business.",
91,"To this end, a separate board of trustees was founded in March 1959 and the Linz University Fund was established three years later.",
92,The Linzer Hochschule was legally established in 1962 and the Linz University Fund continues to make considerable contributions to the expansion and operation of the university today.,
93,"On October 8, 1966, an official ceremony to celebrate the opening of the University of Social and Economic Sciences took place in the main square of Linz.",
94,"Thousands gathered to watch Heinrich Gleißner, President of the University Funds, and Mayor Edmund Aigner ceremonially hand the key over to the universitys first Rector, Ludwig Fröhler.",
95,"Afterwards, Lecture Hall 1 was officially opened by Austrian President Franz Jonas., Two days later, the Faculty of Social Sciences, Economics and Law welcomed students to classes at the university.",
96,"In the fall of 1968, the Faculty of Engineering and Natural Sciences (TNF) was constituted and students began taking classes at the beginning of the 1969/1970 Winter Semester.",
97,The TN Faculty in Linz was the first to offer a degree program in Computer Sciences.,
98,"The Austrian Student Union began its activities on campus, representing students in university matters.",
99,"Enacted in October 1975, the University Organization Act gave the Linz University the Faculty of Law and the university was re-named: Johannes Kepler University.",
100,"Reforms were introduced in the area of administration and co-determination by assistant professors, students and administrative staff at all university levels.",
101,The landmark TN Tower opened its doors in 1977 and became fully operational by November 1978.,
102,"The university continued to grow and welcomed the main campus library building (1984), the Laboratory Building for Microelectronics (1985), and the Management Center (1991).Student enrollment grew steadily and surpassed the 10,000 mark at the beginning of the 1984/1985 Winter Semester.",
103,The Research Institute for Symbolic Computing (RISC) was founded in 1987.,
104,"Two years later, the institute moved into the renovated Schloss Hagenberg (district of Freistadt) in Upper Austrias Mühlviertel region.",
105,"Subsequently, other institutes, a university of applied sciences and companies followed RISC to the area, forming todays Softwarepark Hagenberg.",
106,"The Johannes Kepler University was the first university in the world to offer an academic degree program in Mechatronics.,  ",
107,"At the beginning of the 90s, the JKU actively pursued international partnerships and a Vice-Rector for International Affairs was appointed in 1996.",
108,"As early as 1991, the Austrian Federal Ministry of Science founded the Distance Learning Center at the JKU, enabling educational opportunities at the Fernuniversität Hagen for those interested.",
109,The Linz Center for Supercomputing (LIZENS) opened in 1992.,
110,"During the same year, an Austrian Center for University Semiconductor Research was on the campus.",
111,"The JKU was the first university in Austria to enact the 1993 Universities Organization Act during the 1996/1997 Winter Semester, thus strengthening the university\s autonomy.",
112,"Existing partnerships were intensified: external funding was used to create the special research area Numerical and Symbolic Scientific Computing, several K-Plus centers, the Johann Radon Institute of Applied Mathematics, and additional Christian Doppler laboratories.",
113,"The JKU forged ahead with new structural measures: In 1997, the Bank Building opened its doors and in 2003, Hochschulfond building.",
114,"After far-reaching reforms in university law, the curricula was revised and enacted between 2000 and 2003.",
115,"At the same time, the university revised its faculty strategies and universitys overall strategy for research, teaching and continual education.",
116,The university anticipated the 2002 Universities Act 2002 and defined future areas of excellence by establishing its own development priorities.,
117,", The JKU is at the forefront of administrative innovation: The KeplerCard, the first student ID card featuring an integrated chip, was introduced during Winter Semester 1998/1999.",
118,"In the fall of 2003, the Kepler University introduced Austrias first wireless campus, followed by a Europe-wide multi-media degree program in law in 2002/2003, The JKU forged a new path by implementing social policies designed to support the advancement of women and offer gender studies as well as better integrate and support disabled individuals.",
119,"During the 2000/2001 academic year, the inter-disciplinary institute for Women\s Affairs and Gender Studies and the Office for the Advancement of Women opened its doors, followed by the institute for Integrated Studies.",
120,"The alumni association FORUM Studium & Beruf was created toward the end of 1999, and two years later the association was re-named the Kepler Society.",
121,The Career Center opened on the campus in the fall of 2004.,
122,The master plan for the JKU Science Park was hatched in 2003.,
123,"The idea was to bring research and development in mechatronics, computer science and other scientific and engineering disciplines together and accommodate JKU partners.",
124,Construction began on the first part in the spring of 2007 and the building was officially opened in 2009.,
125,Two more sections followed and two more buildings are currently in the planning stages.,
126,"At the beginning of 2004, the Johannes Kepler University Linz was legally spun off from the federal administration and given legal form as a legal entity subject to public law, resulting in increased autonomy for action but legistically reduced co-determination.",
127,The JKUs reorganization efforts concentrated on centralizing university management and administration and creating a study administration.,
128,"Beginning in 2004, the JKU began to offer inter-university studies.",
129,", The Faculty of Law developed new degree programs.",
130,"The faculties of Social Sciences, Economics & Business as well as Engineering & Natural Sciences conformed their degree programs in accordance with the Bologna Agreement.",
131,The Virtual Reality Center opened in 2014.,
132,"One year later, Austria Grid - one of Europes most powerful grid computing systems - began operations and in 2011, the system was upgraded using the MACH Computing System.",
133,The number of Christian Doppler laboratories continues to rise along with additional research centers and laboratories.,
134,"Founded in the late 80s, the Linz International Management Academy - LIMAK - became the Johannes Kepler University Business School in 2005.",
135,"Together with the University of Applied Sciences of Upper Austria, the LIMAK Austrian Business School was established in 2005.",
136,", The JKUs 2006-2012 Development Plan outlines medium-term excellence and development priorities in research.",
137,"The 2013-2018 Development Plan maintained these priorities to a large extent, pooling them into additional fields of excellence.",
138,"In 2006, the chemistry department at the JKU began to introduce a new research area focusing on polymer chemistry while also extending their field of excellence to include polymer engineering technologies., Campus growth and enhancement continued and in 2010, the JKU opened a modern central law library at the recently renovated Juridicum Building.",
139,"Two years later, an addition was built on to the university cafeteria in order to accommodate the rapidly growing number of enrolled students.",
140,"In 2013, RISC received a new extension building in Hagenberg.",
141,"After numerous attempts to create a school of medicine in Upper Austria, plans for a Linz Model for the JKU Faculty of Medicine were drafted in 2012.",
142,The JKU Faculty of Medicine opened its doors just two years later.,
143,"The Faculty of Medicine currently accepts 60 new students each year; at full capacity, the medical school will accept 300 new students to the program each year.",
144,Ground has been broken for a new building located at the Med Campus in the center of Linz.,
145,The new building is scheduled to be completed by 2021.,
146,"As part of the Cluster Mitte organization, a new teacher education program began in 2016/2017.",
147,"The Johannes Kepler University Linz brings its expertise in STEM subjects (science, technology, engineering, nathematics) to the table and also takes part in the Lehramt NEU program offering classes in its field of social studies, business, and cultural studies (history / social studies / political education, psychology and philosophy, geography and business as well as English).",
148,"In continuing with the spirit of the art of engineering as well as a long tradition of technological creativity and supporting strong, interdisciplinary research, the Johannes Kepler University created the Linz Institute of Technology (LIT) in 2016.",
149,"The Linz Institute of Technology, or LIT for short, pools synergies in one location in an effort keep with longstanding traditions yet move toward the future.",
150,"Scientists and academics at LIT focus on interdisciplinary, internationally-oriented topics of the future, such as Artificial Intelligence, Cyber-Physical Systems, recycling management, and digital transformation.",
151,"Plans to re-design the JKU campus are underway, underpinning the self-image of providing space to learn, work, and live.",
152,"The total investment of approximately € 30 million includes heightening the TNF tower to include a viewing platform, a Think-Tank space, an addition to the library, the Kepler Hall event center, and additional areas for sports and recreation.",
153,"Scheduled to launch in 2019, the Business School is a regionally anchored academic and scientific hub with a strong international focus.",
154,"The international aspect is reinforced by not only offering a number of academic degree programs in English, but also giving students the opportunity to earn a double degree in conjunction with partner universities abroad as well as benefit from a number of additional visiting professors and exchange programs.
",
155,Two years into a pandemic have left their mark.,
156,You would think; but is it really so?,
157,"von links: Moosbrugger, Prandner Also, will future generations be socially disadvantaged?",
158,The 2021 Social Survey Austria took a closer look at these questions and more.,
159,"This study is one of Austria’s largest social science projects, involving researchers at the Johannes Kepler University Linz (Department of Empirical Social Research) as well as from universities in Graz, Salzburg and Vienna.",
160,"Conducted since 1986, this is the sixth edition of the Social Survey Austria.",
161,Social Inequality JKU Prof. Johann Bacher and JKU researcher Martina Beham-Rabanser’s contribution explored the next generation and whether or not the situation in Austria is still conducive to helping the new generation to be better off than the generation before.,
162,"In other words, will the next generation  have it better than their parents\ generation, or are we already in a state of social decline?",
163,Their analyses show that social immobility has increased since the 80s.,
164,"In 1986, 48% said they experienced more upward mobility as compared to their parents, however in 2021, only 40% of those surveyed indicated they experienced upward mobility.",
165,"When it comes to men, the reason seems to be on account of fewer advancement opportunities.",
166,"When it comes to women, the reason seems to be on account of a decline in social relegation.",
167,"There is, however, no evidence that we are living in an age of social decline.",
168,"Expectations for the Future JKU researchers Dimitri Prandner and Robert Moosbrugger studied Austrians’ future expectations and surprisingly, they found that on the whole, the pandemic changed Austrians’ future expectations only marginally.",
169,"The proportion of pessimists in 2018 was 14%, just one percentage point lower than in 2021 when 15% of those surveyed were identified as pessimists.",
170,"However, the study also showed far more dramatic trends among groups of people hit particularly hard by the pandemic.",
171,"During the pandemic, families with children up to age 14 (in 2018: 27%; in 2021: 38%), those in moderate health (in 2018: 28%; in 2021: 34%) and those who have had difficulty making ends meet in lieu of income (in 2018: 25%; in 2021: 36%), have become increasingly pessimistic about the future in Austria.",
172,"In summary, most of those increasingly affected by the pandemic have lost faith, confidence, and trust in society - with dramatic consequences for society as a whole.",
173,"Selected findings will be presented on March 24, at 5:30 PM via live broadcast on WebEx.",
174,"Click here, opens an external URL in a new window to access the link).",
175,"All of the findings from the 2021 Social Survey, including a discussion by JKU researchers Dimitri Prandner and Martina Beham-Rabanser about the importance of government policies, is available on the Social Survey Austria, opens an external URL in a new windows official homepage.]
",
176,"It was a long, lively, and interesting night of research at the JKU, featuring something for everyone.",
177,"Eindrücke von der Langen Nacht der Forschung 2022 Young researchers tried their hand at using nitrogen to make ice cream, rode around campus in the yellow train, and made magnetic fish.",
178,"Older visitors enjoyed a fascinating demonstration of coffee-serving robots able to skillfully handle beverages without spilling a drop, DNA analyses, conducting hands-on experiments, role-playing in the courtroom, and learning about using a bacteria-based dye in todays fashions.",
179,", Visitors not only experienced science up close at the JKU, but also in Hagenberg as well as the MED campus.",
180,"Visitors at the MED campus journeyed into the intestine and even watched a live transmission of a brain and heart operation during which they could even ask the surgeons questions, and much more!",
181,"The level of enthusiasm was high and one thing is for sure: We look forward to the next Long Night of Research with great anticipation! 
",
182,The search was on at the JKU for outstanding programmers to take part in the Cloudflight Coding Contest.,
183,Eindrücke von Cloudflight Coding Contest 2021;,
184,Credit:,
185,Cloudflight The CCC contest on November 5 focused on solving problems in the field of computer science - either individually or as part of a team - and holding ones own against the rest of the world.,
186,"The CCC is, after all, one of Europes largest programming competitions and takes place simultaneously a number of cities around the world.",
187,"The JKU has a long tradition of taking part in the CCC., There were tasks to solve in three categories and they all involved computer science applications.",
188,There was also an AI competition in addition to the student competition.,
189,"The winners of the traditional competition were the three-person team, Lambda No.5, which completed 6 tasks in 3:36:01 hours at HS 1 on campus at that JKU.
",
190,"In addition to KUSSS and Moodle, a new mobile student app is bringing a wind of change to the Summer Semester this year.",
191,"The new student app myJKU\ Whether its about information regarding classes, being notified about important deadlines, being notified as soon as grades are available, or viewing a dashboard that contains valuable and important information about your studies at a glance, the new myJKU app has it all!, The Message Center provides information about grades (and when new grades are available), class times (changes in class times, class locations, if class has been cancelled, etc.).",
192,The so-called Cockpit will display new notifications directly on the myJKU startpage.,
193,Don’t miss any important information - you can proactively receive notifications directly on your mobile or desktop by downloading the app on Android and on your computer (using any browser you wish).,
194,"On behalf of the JKU Rectorate, Christopher Lindinger, Více-Rector for Innovation and Researchers, remarked, We have been excited about the gradual ‘go live’ feature since November.",
195,"We have been pleasantly surprised with the level of student participation and the students’ diverse and constructive feedback, always willing to lend a hand during beta testing and during workshops.",
196,The new myJKU app allows us to pursue a strategically important direction as eventually the app will replace KUSSS and will make students\ lives on campus easier.,
197,"The improved design is modern and contemporary, allowing students better organize their studies on a day-to-day basis.",
198,"In this regard, the JKU is also positioning itself at the forefront of groundbreaking solutions in a digital context.",
199,"Vanessa Fuchs, chair of the Austrian Student Union, remarked: We here at the Austrian Student Union are delighted to support the launch of the new myJKU app!",
200,"The app not only provides clear, comprehensive information about classes, class dates, and academic progress, etc., but also introduces the process of digitization in the educational system, something that is indispensable for the future.",
201,I believe that all JKU students will benefit from the new app.,
202,"As student representatives, this is very important to us.",
203,And the journey has just begun!,
204,"Thanks to constructive feedback during the beta testing and initial pilot phases, there are a number of new ideas in the works!",
205,"At the beginning of March, selected students took part in a workshop where they discussed a number of issues in detail, including implementing new features in regard to class schedules and timetables.",
206,A major update is expected to be released as early as this summer.,
207,"Peter Brandstetter, head of the Office of Student Information and Academic Advising Services and a project supporter from the start with his many years of expertise, added, If, in the long term, we succeed in eventually offering a study planner in the myJKU app that can proactively provide students with advice and information on how to organize their studies and take all of the mandatory and elective courses and subjects, a long-standing dream will have come true!",
208,"It remains exciting and suspenseful, to say the least!
",
209,The antiviral is also effective against all known coronaviruses and influenza.,
210,Spike Protein,
211,"A new paper titled: Ein auf molekularer Ebene entwickeltes Breitspektrum-Anticoronavirus-2-Lektin hemmt die Infektion mit SARS-CoV-2 und MERS-CoV in Vivo in the prestigious journal, Cell Reports Medicine, describes just how H84T-BanLec is effective against all known human-infecting coronaviruses, including MERS, the original SARS, and SARS-CoV2, including the Omicron variant.",
212,H84T-BanLec is extracted from a lectin (a carbohydrate-binding protein) isolated in bananas and molecularly engineered.,
213,"The protein produces its antiviral activity by binding to mannose-rich glycans, polysaccharides that are found on the surface of viruses but very rarely on normal healthy human cells.",
214,"Once bound, the virus can no longer infiltrate and infect the cells.",
215,"As part of this study - and together with clinical institutes at the universities in Michigan and Hong Kong - a team led by Yoo Jin Oh and Peter Hinterdorfer (Institute of Biophysics at the Johannes Kepler University Linz) conducted comprehensive structural and biophysical single-molecule studies using atomic force microscope imaging to reveal the interactive dynamics and binding properties between H84T-BanLec and the SARS-CoV-2 spike protein, mapping the binding sites with unprecedented resolution.",
216,"As the SARS-CoV-2 spike protein is highly flexible, strong and diverse, binding allows for maximal binding with H84T-BanLec, thereby producing the resulting antiviral effects.",
217,Modeling and experimental data suggest there is a network of oligomannosidic glycans in the SARS-CoV-2 spike protein bound to H84T-Ban-Lec.,
218,This strong dynamic binding of H84T-BanLec with the SARS-CoV-2 spike protein explains why it is difficult for a coronavirus to resist the lectin.,
219,"Despite their antiviral potential, lectins have been previously avoided as a potential treatment because the proteins could potentially negatively affect the immune system.",
220,"H84T-BanLec, however, has been modified to negate this effect and animals have not demonstrated any adverse effects.",
221,"While there are currently several options to treat COVID-19, including remdesivir, paxlovide, and monoclonal antibodies, they vary in effectiveness, side effects, simplicity of use, and many have been shown to be less effective as SARS-CoV2 continues to evolve.",
222,"According to the research team, H84T-BanLec is particularly promising because it is effective against all of the coronavirus variants as well as influenza viruses.",
223,The researchers hope this treatment can successfully transition from animal testing to human trials.,
224,The team believes a nasal spray or drops can be used to prevent or treat coronavirus and influenza infections during flu season or in a pandemic situation.,
225,"Future plans include exploring the use of H84T-BanLec against cancer since cancer cells, like viruses, also have high surface levels of mannose glycans.
",
226,AOS is a special type of imaging technique that can suppress strong occlusion and make hidden targets visible in real time.,
227,"Drohne, Credit: JKU AOS is a sophisticated imaging method that can be used in real-time to suppress occlusion (meaning, for example, a canopy of leaves in the forest) from the aerial drone images and scientists at the JKU have recently made cutting-edge advances.",
228,AOS captures multiple images in the air at different positions.,
229,"To remove occlusion, these images are computationally combined, suppressing the occlusion and making hidden targets visible in the image.",
230,"Potential AOS applications include monitoring wildlife, conducting search and rescue missions in densely forested areas, and detecting forest fires and fire hotspots.",
231,"Up to now, the only problem with the system is that it could only be used on stationary objects.",
232,"Missing people and wild game are often in constant motion and even when using AOS, the level of technology at the time was unable to detect - much less track - these types of moving objects because sequentially capturing the individual images needed to calculate the projected forest path was taking much longer than the person, animal, or vehicle was moving.",
233,"Fast-moving objects in particular were lost in the resulting images on account of motion blur, similar to long exposure time.",
234,The JKU Institute of Computer Graphics (headed by Prof. Oliver Bimber) and the Institute of Lightweight Structures (headed by Prof. Martin Schagerl) have worked together to develop a new drone prototype.,
235,"The prototype is a global first and can detect objects moving under densely forested areas, tracking these objects in real-time.",
236,"Despite international efforts over the past several years to move in this direction, through-foilage tracking under realistic conditions was largely considered an unsolvable issue.",
237,The drone prototype’s show-stopper is a nearly10-meter long extension made out of carbon and equipped with 10 light-weight cameras aligned to able to simultaneously capture images.,
238,"The computational combination of images via the extension’s large synthetic aperture enables the occlusion to be calculated away at camera-shot speed, meaning in real-time.",
239,Initial experiments show that a color anomaly detector can detect and track people in densely covered areas of forest.,
240,"The project’s initial findings have now been published in the Science Partner Journal of Remote Sensing showing that not only is through-foilage tracking realistically possible, but also that AOS has significantly improved anomaly detection, which is often used to support automated image searching during search & rescue missions.
",
241,JKU researchers at the School of Education conducted a study at Austria’s schools to study the use and acceptance of educational technologies.,
242,Child using an iPad; photo credit:,
243,"Pixabay The studys target group consisted of math educators currently teaching a class during this school year at middle schools, and at general secondary schools (AHS), equipped with digital devices as outlined by the Austrian Federal Ministry of Education, Science & Research’s (BMBWF) 8-Point Plan.",
244,"Over 1,200 secondary level 1 math teachers took part in the nationwide study.",
245,", The study’s key findings: The most widely used devices are the iPad (approximately 35% of teachers use this particular technology), and Windows Notebook (approximately 40% of teachers use this technology).",
246,"Robert Weinhandl, head of the study at the JKUs School of Education, remarked: It is particularly interesting that a majority of math teachers think that digital devices are useful tools and that using them makes teaching easier.]
",
247,"A recent JKU study is shedding light on the formation of aortic aneurysms, a pathological dilatation of the aorta.",
